topology,seed,strategy,final_fake_count,efficiency,mean_fact_checker_budget
small-world,0,baseline,75,0.6324000000000001,0.25
small-world,0,adaptive,1,0.9722,0.08519801980198026
small-world,1,baseline,73,0.6705749999999999,0.25
small-world,1,adaptive,0,0.97605,0.07985148514851488
small-world,2,baseline,102,0.512575,0.25
small-world,2,adaptive,1,0.96555,0.08683168316831688
small-world,3,baseline,27,0.7817000000000001,0.25
small-world,3,adaptive,0,0.972875,0.08445544554455452
small-world,4,baseline,49,0.761125,0.25
small-world,4,adaptive,0,0.9778,0.08089108910891095
small-world,5,baseline,70,0.628025,0.25
small-world,5,adaptive,0,0.97735,0.07940594059405943
small-world,6,baseline,72,0.6491750000000001,0.25
small-world,6,adaptive,0,0.971825,0.08757425742574264
small-world,7,baseline,89,0.58605,0.25
small-world,7,adaptive,0,0.97715,0.07806930693069308
small-world,8,baseline,50,0.7389,0.25
small-world,8,adaptive,0,0.973275,0.07866336633663368
small-world,9,baseline,64,0.676675,0.25
small-world,9,adaptive,0,0.971825,0.08445544554455452
small-world,10,baseline,24,0.86495,0.25
small-world,10,adaptive,1,0.97245,0.07821782178217825
small-world,11,baseline,91,0.582625,0.25
small-world,11,adaptive,0,0.97845,0.07658415841584161
small-world,12,baseline,48,0.726075,0.25
small-world,12,adaptive,0,0.976475,0.07762376237623764
small-world,13,baseline,34,0.7967500000000001,0.25
small-world,13,adaptive,0,0.9749,0.07806930693069308
small-world,14,baseline,51,0.7805,0.25
small-world,14,adaptive,0,0.975575,0.07896039603960399
small-world,15,baseline,56,0.73595,0.25
small-world,15,adaptive,0,0.980425,0.075990099009901
small-world,16,baseline,75,0.6493,0.25
small-world,16,adaptive,0,0.97685,0.07806930693069307
small-world,17,baseline,20,0.8785000000000001,0.25
small-world,17,adaptive,0,0.97225,0.08207920792079212
small-world,18,baseline,33,0.8190500000000001,0.25
small-world,18,adaptive,0,0.97375,0.08059405940594064
small-world,19,baseline,46,0.7680750000000001,0.25
small-world,19,adaptive,0,0.9706,0.08519801980198026
small-world,20,baseline,70,0.64515,0.25
small-world,20,adaptive,0,0.970175,0.08623762376237629
small-world,21,baseline,35,0.8216749999999999,0.25
small-world,21,adaptive,0,0.97405,0.08118811881188125
small-world,22,baseline,21,0.855925,0.25
small-world,22,adaptive,0,0.965825,0.08995049504950502
small-world,23,baseline,68,0.63385,0.25
small-world,23,adaptive,0,0.96765,0.0853465346534654
small-world,24,baseline,67,0.67425,0.25
small-world,24,adaptive,0,0.978375,0.075990099009901
small-world,25,baseline,25,0.83895,0.25
small-world,25,adaptive,0,0.97675,0.07881188118811883
small-world,26,baseline,37,0.811975,0.25
small-world,26,adaptive,0,0.972775,0.08044554455445548
small-world,27,baseline,40,0.773325,0.25
small-world,27,adaptive,0,0.9762,0.07836633663366338
small-world,28,baseline,40,0.767925,0.25
small-world,28,adaptive,0,0.977225,0.07747524752475249
small-world,29,baseline,72,0.6771750000000001,0.25
small-world,29,adaptive,0,0.975725,0.07762376237623764
scale-free,0,baseline,150,0.28832500000000005,0.25
scale-free,0,adaptive,0,0.978025,0.08356435643564362
scale-free,1,baseline,1,0.961625,0.25
scale-free,1,adaptive,0,0.97655,0.08000000000000003
scale-free,2,baseline,1,0.95565,0.25
scale-free,2,adaptive,0,0.975725,0.08297029702970303
scale-free,3,baseline,1,0.9424,0.25
scale-free,3,adaptive,0,0.97275,0.08282178217821788
scale-free,4,baseline,1,0.963475,0.25
scale-free,4,adaptive,0,0.974225,0.08311881188118818
scale-free,5,baseline,1,0.9134,0.25
scale-free,5,adaptive,0,0.98,0.07910891089108912
scale-free,6,baseline,0,0.953575,0.25
scale-free,6,adaptive,0,0.973225,0.0856435643564357
scale-free,7,baseline,1,0.94755,0.25
scale-free,7,adaptive,0,0.977075,0.08044554455445548
scale-free,8,baseline,2,0.9476,0.25
scale-free,8,adaptive,0,0.971475,0.08282178217821788
scale-free,9,baseline,0,0.960625,0.25
scale-free,9,adaptive,0,0.97065,0.08460396039603965
scale-free,10,baseline,0,0.9504,0.25
scale-free,10,adaptive,0,0.975,0.07955445544554457
scale-free,11,baseline,0,0.96615,0.25
scale-free,11,adaptive,0,0.9757,0.08044554455445548
scale-free,12,baseline,0,0.960875,0.25
